1,139
2,139
3,130
4,140
5,135
6,150
7,143
8,131
9,137
10,148
11,136
12,144
13,145
14,153
15,149
16,143
17,155
18,138
19,153
20,146
21,131
22,153
23,133
24,149
25,154
26,143
27,144
28,154
29,152
30,146
31,135
32,142
33,137
34,155
35,146
36,133
37,149
38,138
39,146
40,153
41,146
42,144
43,149
44,150
45,148
46,132
47,130
48,130
49,130
50,137
51,153
52,148
53,140
54,132
55,144
56,143
57,147
58,146
59,147
60,152
61,150
62,153
63,137
64,151
65,135
66,135
67,141
68,134
69,153
70,152
71,150
72,144
73,135
74,131
75,146
76,132
77,140
78,139
79,132
80,154
81,146
82,130
83,148
84,133
85,135
86,146
87,153
88,131
89,154
90,137
91,148
92,142
93,153
94,150
95,132
96,135
97,140
98,132
99,141
100,135
101,132
102,155
103,137
104,135
105,152
106,140
107,134
108,154
109,135
110,145
111,135
112,155
113,133
114,132
115,131
116,141
117,137
118,132
119,154
120,140
121,136
122,135
123,138
124,132
125,149
126,135
127,132
128,152
132,142
134,142
133,144
135,144
140,146
145,146
142,150
144,150
146,153
139,153
